1729289421.795199 server started (20998): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1729289421.795236 on Linux 6.11.0-8-generic #8-Ubuntu SMP PREEMPT_DYNAMIC Mon Sep 16 13:41:20 UTC 2024
1729289421.795247 using libevent 2.1.12-stable poll
1729289421.795251 using ncurses 6.5 20240427
1729289421.795628 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1729289421.795631 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1729289421.795634 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1729289421.795638 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1729289421.795641 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1729289421.795644 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1729289421.795647 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1729289421.795650 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1729289421.795654 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1729289421.795657 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1729289421.795660 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1729289421.795663 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1729289421.795667 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1729289421.795670 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1729289421.795673 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1729289421.795676 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1729289421.795680 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1729289421.795683 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1729289421.795686 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1729289421.795690 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1729289421.795693 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1729289421.795696 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1729289421.795699 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1729289421.795703 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1729289421.795706 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1729289421.795709 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1729289421.795712 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1729289421.795716 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1729289421.795719 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1729289421.795722 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1729289421.795726 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1729289421.795729 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1729289421.795733 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1729289421.795740 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1729289421.795744 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1729289421.795747 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1729289421.795769 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1729289421.795773 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1729289421.795777 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1729289421.795780 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1729289421.795784 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1729289421.795787 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1729289421.795791 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1729289421.795794 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1729289421.795797 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1729289421.795801 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1729289421.795804 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1729289421.795813 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1729289421.795816 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1729289421.795820 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1729289421.795823 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1729289421.795826 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1729289421.795829 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1729289421.795833 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1729289421.795836 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1729289421.795839 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1729289421.795842 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1729289421.795845 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1729289421.795848 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1729289421.795852 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1729289421.795855 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1729289421.795858 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1729289421.795861 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1729289421.795864 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1729289421.795867 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1729289421.795870 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1729289421.795873 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1729289421.795876 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1729289421.795879 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1729289421.795883 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1729289421.795886 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1729289421.795889 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1729289421.795892 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1729289421.795895 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1729289421.795898 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1729289421.795901 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1729289421.795904 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1729289421.795908 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1729289421.795911 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1729289421.795914 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1729289421.795917 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1729289421.795920 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1729289421.795923 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1729289421.795926 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1729289421.795929 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1729289421.795933 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1729289421.795936 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1729289421.795939 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1729289421.795942 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1729289421.795945 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1729289421.795951 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1729289421.795955 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1729289421.795959 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1729289421.795962 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1729289421.795965 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1729289421.795968 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1729289421.795971 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1729289421.795975 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1729289421.795978 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1729289421.795981 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1729289421.795985 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1729289421.795988 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1729289421.795994 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1729289421.795998 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1729289421.796001 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1729289421.796004 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1729289421.796008 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1729289421.796011 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1729289421.796014 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1729289421.796017 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1729289421.796020 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1729289421.796023 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1729289421.796027 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1729289421.796030 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1729289421.796033 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1729289421.796036 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1729289421.796039 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1729289421.796042 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1729289421.796046 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1729289421.796049 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1729289421.796052 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1729289421.796055 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1729289421.796058 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1729289421.796061 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1729289421.796064 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1729289421.796068 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1729289421.796071 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1729289421.796074 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1729289421.796077 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1729289421.796080 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1729289421.796083 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1729289421.796087 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1729289421.796090 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1729289421.796093 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1729289421.796096 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1729289421.796099 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1729289421.796105 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1729289421.796109 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1729289421.796113 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1729289421.796116 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1729289421.796119 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1729289421.796122 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1729289421.796126 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1729289421.796129 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1729289421.796132 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1729289421.796135 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1729289421.796139 input_key_build: 0x40200000000009 (C-Tab[E]) is \033[9;5u
1729289421.796142 input_key_build: 0x40600000000009 (C-S-Tab[E]) is \033[1;5Z
1729289421.796159 yylex_token: end at WS
1729289421.796162 yylex_token: bind
1729289421.796166 yylex_token: end at WS
1729289421.796168 yylex_token: -N
1729289421.796172 yylex_token: end at WS
1729289421.796175 yylex_token: Send the prefix key
1729289421.796178 yylex_token: end at WS
1729289421.796181 yylex_token: C-b
1729289421.796184 yylex_token: end at WS
1729289421.796186 yylex_token: send-prefix
1729289421.796195 cmd_parse_build_commands 0:0: bind
1729289421.796203 cmd_parse_build_commands 0:1: -N
1729289421.796206 cmd_parse_build_commands 0:2: Send the prefix key
1729289421.796209 cmd_parse_build_commands 0:3: C-b
1729289421.796212 cmd_parse_build_commands 0:4 0:0: send-prefix
1729289421.796225 cmd_parse_build_commands 0:0: send-prefix
1729289421.796237 args_parse: flags end at 1 of 1
1729289421.796247 cmd_parse_build_commands: send-prefix
1729289421.796250 args_parse_flags: next -N
1729289421.796254 args_parse_flag_argument: -N = Send the prefix key
1729289421.796257 args_parse_flags: next C-b
1729289421.796260 args_parse: flags end at 3 of 5
1729289421.796263 args_parse: 3 = C-b (type STRING)
1729289421.796267 args_parse: 4 = send-prefix (type COMMANDS)
1729289421.796283 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1729289421.796289 cmdq_get_command: [bind-key/0x57762dd676c0] group 2
1729289421.796292 cmdq_append <global>: [bind-key/0x57762dd676c0]
1729289421.796298 yylex_token: end at WS
1729289421.796301 yylex_token: bind
1729289421.796304 yylex_token: end at WS
1729289421.796306 yylex_token: -N
1729289421.796310 yylex_token: end at WS
1729289421.796313 yylex_token: Rotate through the panes
1729289421.796316 yylex_token: end at WS
1729289421.796318 yylex_token: C-o
1729289421.796321 yylex_token: end at WS
1729289421.796324 yylex_token: rotate-window
1729289421.796329 cmd_parse_build_commands 0:0: bind
1729289421.796331 cmd_parse_build_commands 0:1: -N
1729289421.796334 cmd_parse_build_commands 0:2: Rotate through the panes
1729289421.796337 cmd_parse_build_commands 0:3: C-o
1729289421.796341 cmd_parse_build_commands 0:4 0:0: rotate-window
1729289421.796345 cmd_parse_build_commands 0:0: rotate-window
1729289421.796351 args_parse: flags end at 1 of 1
1729289421.796355 cmd_parse_build_commands: rotate-window
1729289421.796357 args_parse_flags: next -N
1729289421.796361 args_parse_flag_argument: -N = Rotate through the panes
1729289421.796364 args_parse_flags: next C-o
1729289421.796366 args_parse: flags end at 3 of 5
1729289421.796369 args_parse: 3 = C-o (type STRING)
1729289421.796373 args_parse: 4 = rotate-window (type COMMANDS)
1729289421.796381 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1729289421.796386 cmdq_get_command: [bind-key/0x57762dd67b90] group 10
1729289421.796389 cmdq_append <global>: [bind-key/0x57762dd67b90]
1729289421.796394 yylex_token: end at WS
1729289421.796396 yylex_token: bind
1729289421.796399 yylex_token: end at WS
1729289421.796402 yylex_token: -N
1729289421.796405 yylex_token: end at WS
1729289421.796408 yylex_token: Suspend the current client
1729289421.796411 yylex_token: end at WS
1729289421.796413 yylex_token: C-z
1729289421.796417 yylex_token: end at WS
1729289421.796419 yylex_token: suspend-client
1729289421.796423 cmd_parse_build_commands 0:0: bind
1729289421.796426 cmd_parse_build_commands 0:1: -N
1729289421.796429 cmd_parse_build_commands 0:2: Suspend the current client
1729289421.796432 cmd_parse_build_commands 0:3: C-z
1729289421.796435 cmd_parse_build_commands 0:4 0:0: suspend-client
1729289421.796439 cmd_parse_build_commands 0:0: suspend-client
1729289421.796447 args_parse: flags end at 1 of 1
1729289421.796450 cmd_parse_build_commands: suspend-client
1729289421.796453 args_parse_flags: next -N
1729289421.796456 args_parse_flag_argument: -N = Suspend the current client
1729289421.796459 args_parse_flags: next C-z
1729289421.796462 args_parse: flags end at 3 of 5
1729289421.796465 args_parse: 3 = C-z (type STRING)
1729289421.796468 args_parse: 4 = suspend-client (type COMMANDS)
1729289421.796476 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1729289421.796480 cmdq_get_command: [bind-key/0x57762dd68cc0] group 18
1729289421.796484 cmdq_append <global>: [bind-key/0x57762dd68cc0]
1729289421.796488 yylex_token: end at WS
1729289421.796491 yylex_token: bind
1729289421.796494 yylex_token: end at WS
1729289421.796496 yylex_token: -N
1729289421.796500 yylex_token: end at WS
1729289421.796502 yylex_token: Select next layout
1729289421.796510 yylex_token: end at WS
1729289421.796513 yylex_token: Space
1729289421.796516 yylex_token: end at WS
1729289421.796518 yylex_token: next-layout
1729289421.796522 cmd_parse_build_commands 0:0: bind
1729289421.796525 cmd_parse_build_commands 0:1: -N
1729289421.796528 cmd_parse_build_commands 0:2: Select next layout
1729289421.796531 cmd_parse_build_commands 0:3: Space
1729289421.796534 cmd_parse_build_commands 0:4 0:0: next-layout
1729289421.796538 cmd_parse_build_commands 0:0: next-layout
1729289421.796544 args_parse: flags end at 1 of 1
1729289421.796548 cmd_parse_build_commands: next-layout
1729289421.796550 args_parse_flags: next -N
1729289421.796554 args_parse_flag_argument: -N = Select next layout
1729289421.796557 args_parse_flags: next Space
1729289421.796559 args_parse: flags end at 3 of 5
1729289421.796562 args_parse: 3 = Space (type STRING)
1729289421.796565 args_parse: 4 = next-layout (type COMMANDS)
1729289421.796572 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1729289421.796576 cmdq_get_command: [bind-key/0x57762dd69570] group 26
1729289421.796579 cmdq_append <global>: [bind-key/0x57762dd69570]
1729289421.796583 yylex_token: end at WS
1729289421.796585 yylex_token: bind
1729289421.796588 yylex_token: end at WS
1729289421.796590 yylex_token: -N
1729289421.796593 yylex_token: end at WS
1729289421.796596 yylex_token: Break pane to a new window
1729289421.796599 yylex_token: end at WS
1729289421.796601 yylex_token: !
1729289421.796604 yylex_token: end at WS
1729289421.796606 yylex_token: break-pane
1729289421.796609 cmd_parse_build_commands 0:0: bind
1729289421.796612 cmd_parse_build_commands 0:1: -N
1729289421.796615 cmd_parse_build_commands 0:2: Break pane to a new window
1729289421.796617 cmd_parse_build_commands 0:3: !
1729289421.796620 cmd_parse_build_commands 0:4 0:0: break-pane
1729289421.796624 cmd_parse_build_commands 0:0: break-pane
1729289421.796627 args_parse: flags end at 1 of 1
1729289421.796630 cmd_parse_build_commands: break-pane
1729289421.796633 args_parse_flags: next -N
1729289421.796636 args_parse_flag_argument: -N = Break pane to a new window
1729289421.796638 args_parse_flags: next !
1729289421.796641 args_parse: flags end at 3 of 5
1729289421.796643 args_parse: 3 = ! (type STRING)
1729289421.796647 args_parse: 4 = break-pane (type COMMANDS)
1729289421.796653 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1729289421.796657 cmdq_get_command: [bind-key/0x57762dd652b0] group 34
1729289421.796660 cmdq_append <global>: [bind-key/0x57762dd652b0]
1729289421.796664 yylex_token: end at WS
1729289421.796666 yylex_token: bind
1729289421.796669 yylex_token: end at WS
1729289421.796671 yylex_token: -N
1729289421.796674 yylex_token: end at WS
1729289421.796677 yylex_token: Split window vertically
1729289421.796679 yylex_token: end at WS
1729289421.796681 yylex_token: "
1729289421.796684 yylex_token: end at WS
1729289421.796686 yylex_token: split-window
1729289421.796690 cmd_parse_build_commands 0:0: bind
1729289421.796692 cmd_parse_build_commands 0:1: -N
1729289421.796695 cmd_parse_build_commands 0:2: Split window vertically
1729289421.796697 cmd_parse_build_commands 0:3: "
1729289421.796700 cmd_parse_build_commands 0:4 0:0: split-window
1729289421.796704 cmd_parse_build_commands 0:0: split-window
1729289421.796709 args_parse: flags end at 1 of 1
1729289421.796713 cmd_parse_build_commands: split-window
1729289421.796715 args_parse_flags: next -N
1729289421.796718 args_parse_flag_argument: -N = Split window vertically
1729289421.796721 args_parse_flags: next "
1729289421.796723 args_parse: flags end at 3 of 5
1729289421.796725 args_parse: 3 = " (type STRING)
1729289421.796729 args_parse: 4 = split-window (type COMMANDS)
1729289421.796736 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1729289421.796739 cmdq_get_command: [bind-key/0x57762dd656c0] group 42
1729289421.796742 cmdq_append <global>: [bind-key/0x57762dd656c0]
1729289421.796746 yylex_token: end at WS
1729289421.796761 yylex_token: bind
1729289421.796768 yylex_token: end at WS
1729289421.796770 yylex_token: -N
1729289421.796773 yylex_token: end at WS
1729289421.796776 yylex_token: List all paste buffers
1729289421.796778 yylex_token: end at WS
1729289421.796780 yylex_token: #
1729289421.796783 yylex_token: end at WS
1729289421.796786 yylex_token: list-buffers
1729289421.796789 cmd_parse_build_commands 0:0: bind
1729289421.796793 cmd_parse_build_commands 0:1: -N
1729289421.796795 cmd_parse_build_commands 0:2: List all paste buffers
1729289421.796798 cmd_parse_build_commands 0:3: #
1729289421.796801 cmd_parse_build_commands 0:4 0:0: list-buffers
1729289421.796805 cmd_parse_build_commands 0:0: list-buffers
1729289421.796810 args_parse: flags end at 1 of 1
1729289421.796813 cmd_parse_build_commands: list-buffers
1729289421.796816 args_parse_flags: next -N
1729289421.796819 args_parse_flag_argument: -N = List all paste buffers
1729289421.796821 args_parse_flags: next #
1729289421.796824 args_parse: flags end at 3 of 5
1729289421.796826 args_parse: 3 = # (type STRING)
1729289421.796829 args_parse: 4 = list-buffers (type COMMANDS)
1729289421.796836 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1729289421.796840 cmdq_get_command: [bind-key/0x57762dd65fe0] group 50
1729289421.796843 cmdq_append <global>: [bind-key/0x57762dd65fe0]
1729289421.796874 yylex_token: end at WS
1729289421.796878 yylex_token: bind
1729289421.796881 yylex_token: end at WS
1729289421.796883 yylex_token: -N
1729289421.796886 yylex_token: end at WS
1729289421.796889 yylex_token: Rename current session
1729289421.796891 yylex_token: end at WS
1729289421.796893 yylex_token: $
